home_team,away_team,sport_title,commence_time,bookmaker_titles
New York Giants,Baltimore Ravens,NFL,2024-12-15T18:00:00Z,"['DraftKings', 'Caesars']"
Carolina Panthers,Dallas Cowboys,NFL,2024-12-15T18:00:00Z,"['DraftKings', 'Caesars']"
Tennessee Titans,Cincinnati Bengals,NFL,2024-12-15T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Cleveland Browns,Kansas City Chiefs,NFL,2024-12-15T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Houston Texans,Miami Dolphins,NFL,2024-12-15T18:00:00Z,"['DraftKings', 'Caesars']"
Jacksonville Jaguars,New York Jets,NFL,2024-12-15T18:00:00Z,"['DraftKings', 'Caesars']"
New Orleans Saints,Washington Commanders,NFL,2024-12-15T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Arizona Cardinals,New England Patriots,NFL,2024-12-15T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Detroit Lions,Buffalo Bills,NFL,2024-12-15T21:25:00Z,"['DraftKings', 'Caesars']"
Denver Broncos,Indianapolis Colts,NFL,2024-12-15T21:25:00Z,"['DraftKings', 'Caesars']"
Los Angeles Chargers,Tampa Bay Buccaneers,NFL,2024-12-15T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Philadelphia Eagles,Pittsburgh Steelers,NFL,2024-12-15T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Seattle Seahawks,Green Bay Packers,NFL,2024-12-16T01:20:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Minnesota Vikings,Chicago Bears,NFL,2024-12-17T01:00:00Z,"['DraftKings', 'Caesars']"
Las Vegas Raiders,Atlanta Falcons,NFL,2024-12-17T01:30:00Z,"['DraftKings', 'Caesars']"
Cincinnati Bengals,Cleveland Browns,NFL,2024-12-20T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Kansas City Chiefs,Houston Texans,NFL,2024-12-21T18:00:00Z,"['DraftKings', 'Caesars']"
Baltimore Ravens,Pittsburgh Steelers,NFL,2024-12-21T21:30:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Carolina Panthers,Arizona Cardinals,NFL,2024-12-22T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Atlanta Falcons,New York Giants,NFL,2024-12-22T18:00:00Z,"['DraftKings', 'Caesars']"
Buffalo Bills,New England Patriots,NFL,2024-12-22T18:00:00Z,"['DraftKings', 'Caesars']"
Chicago Bears,Detroit Lions,NFL,2024-12-22T18:00:00Z,"['DraftKings', 'Caesars']"
Indianapolis Colts,Tennessee Titans,NFL,2024-12-22T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Jets,Los Angeles Rams,NFL,2024-12-22T18:00:00Z,"['DraftKings', 'Caesars']"
Washington Commanders,Philadelphia Eagles,NFL,2024-12-22T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Chargers,Denver Broncos,NFL,2024-12-22T21:05:00Z,"['DraftKings', 'Caesars']"
Seattle Seahawks,Minnesota Vikings,NFL,2024-12-22T21:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Las Vegas Raiders,Jacksonville Jaguars,NFL,2024-12-22T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Miami Dolphins,San Francisco 49ers,NFL,2024-12-22T21:25:00Z,"['DraftKings', 'Caesars']"
Dallas Cowboys,Tampa Bay Buccaneers,NFL,2024-12-23T01:20:00Z,"['DraftKings', 'Caesars']"
Green Bay Packers,New Orleans Saints,NFL,2024-12-24T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Pittsburgh Steelers,Kansas City Chiefs,NFL,2024-12-25T18:00:00Z,"['FanDuel', 'DraftKings', 'Caesars', 'BetMGM', 'BetUS']"
Houston Texans,Baltimore Ravens,NFL,2024-12-25T21:30:00Z,"['FanDuel', 'Caesars', 'DraftKings', 'BetMGM']"
Chicago Bears,Seattle Seahawks,NFL,2024-12-27T01:15:00Z,"['DraftKings', 'Caesars']"
Washington Commanders,Atlanta Falcons,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars']"
Buffalo Bills,New York Jets,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars']"
Tampa Bay Buccaneers,Carolina Panthers,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Cincinnati Bengals,Denver Broncos,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars']"
Minnesota Vikings,Green Bay Packers,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Giants,Indianapolis Colts,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars']"
Jacksonville Jaguars,Tennessee Titans,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New Orleans Saints,Las Vegas Raiders,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New England Patriots,Los Angeles Chargers,NFL,2024-12-29T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Rams,Arizona Cardinals,NFL,2024-12-29T21:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Philadelphia Eagles,Dallas Cowboys,NFL,2024-12-29T21:25:00Z,"['DraftKings', 'Caesars']"
Cleveland Browns,Miami Dolphins,NFL,2024-12-30T01:20:00Z,"['DraftKings', 'Caesars']"
San Francisco 49ers,Detroit Lions,NFL,2024-12-31T01:15:00Z,"['DraftKings', 'Caesars']"
Atlanta Falcons,Carolina Panthers,NFL,2025-01-05T18:00:00Z,['DraftKings']
Baltimore Ravens,Cleveland Browns,NFL,2025-01-05T18:00:00Z,"['DraftKings', 'BetUS']"
New England Patriots,Buffalo Bills,NFL,2025-01-05T18:00:00Z,['DraftKings']
Green Bay Packers,Chicago Bears,NFL,2025-01-05T18:00:00Z,['DraftKings']
Pittsburgh Steelers,Cincinnati Bengals,NFL,2025-01-05T18:00:00Z,"['DraftKings', 'BetUS']"
Dallas Cowboys,Washington Commanders,NFL,2025-01-05T18:00:00Z,['DraftKings']
Detroit Lions,Minnesota Vikings,NFL,2025-01-05T18:00:00Z,['DraftKings']
Tennessee Titans,Houston Texans,NFL,2025-01-05T18:00:00Z,['DraftKings']
Indianapolis Colts,Jacksonville Jaguars,NFL,2025-01-05T18:00:00Z,"['DraftKings', 'BetUS']"
New York Jets,Miami Dolphins,NFL,2025-01-05T18:00:00Z,['DraftKings']
Tampa Bay Buccaneers,New Orleans Saints,NFL,2025-01-05T18:00:00Z,"['DraftKings', 'BetUS']"
Philadelphia Eagles,New York Giants,NFL,2025-01-05T18:00:00Z,['DraftKings']
Arizona Cardinals,San Francisco 49ers,NFL,2025-01-05T21:25:00Z,"['DraftKings', 'BetUS']"
Denver Broncos,Kansas City Chiefs,NFL,2025-01-05T21:25:00Z,['DraftKings']
Las Vegas Raiders,Los Angeles Chargers,NFL,2025-01-05T21:25:00Z,"['DraftKings', 'BetUS']"
Los Angeles Rams,Seattle Seahawks,NFL,2025-01-05T21:25:00Z,"['DraftKings', 'BetUS']"
