home_team,away_team,sport_title,commence_time,bookmaker_titles
New York Jets,New England Patriots,NFL,2024-09-20T00:15:00Z,"['DraftKings', 'Caesars']"
Indianapolis Colts,Chicago Bears,NFL,2024-09-22T17:00:00Z,"['DraftKings', 'Caesars']"
Cleveland Browns,New York Giants,NFL,2024-09-22T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tampa Bay Buccaneers,Denver Broncos,NFL,2024-09-22T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tennessee Titans,Green Bay Packers,NFL,2024-09-22T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Minnesota Vikings,Houston Texans,NFL,2024-09-22T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Pittsburgh Steelers,Los Angeles Chargers,NFL,2024-09-22T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New Orleans Saints,Philadelphia Eagles,NFL,2024-09-22T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Las Vegas Raiders,Carolina Panthers,NFL,2024-09-22T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Seattle Seahawks,Miami Dolphins,NFL,2024-09-22T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Arizona Cardinals,Detroit Lions,NFL,2024-09-22T20:25:00Z,"['DraftKings', 'Caesars']"
Dallas Cowboys,Baltimore Ravens,NFL,2024-09-22T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Rams,San Francisco 49ers,NFL,2024-09-22T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Atlanta Falcons,Kansas City Chiefs,NFL,2024-09-23T00:20:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Buffalo Bills,Jacksonville Jaguars,NFL,2024-09-23T23:30:00Z,"['DraftKings', 'Caesars']"
Cincinnati Bengals,Washington Commanders,NFL,2024-09-24T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Giants,Dallas Cowboys,NFL,2024-09-27T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Atlanta Falcons,New Orleans Saints,NFL,2024-09-29T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
